Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,5874.859863,5911.790039,5865.790039,5904.029785,2210360000,5904.029785
2017-02-28,5852.790039,5855.069824,5817.220215,5825.439941,2298380000,5825.439941
2017-02-27,5835.040039,5861.899902,5827.00,5861.899902,1876090000,5861.899902
2017-02-24,5802.330078,5845.310059,5800.549805,5845.310059,1683280000,5845.310059
2017-02-23,5866.819824,5866.959961,5809.549805,5835.509766,1879670000,5835.509766
2017-02-22,5857.560059,5864.419922,5848.279785,5860.629883,1872330000,5860.629883
2017-02-21,5850.200195,5867.890137,5847.50,5865.950195,1935110000,5865.950195
2017-02-17,5807.310059,5838.580078,5800.799805,5838.580078,1875580000,5838.580078
2017-02-16,5823.009766,5835.149902,5796.709961,5814.899902,1943600000,5814.899902
2017-02-15,5777.899902,5821.950195,5776.700195,5819.439941,2083660000,5819.439941
2017-02-14,5756.509766,5783.089844,5748.740234,5782.569824,1945160000,5782.569824
2017-02-13,5753.189941,5770.990234,5751.919922,5763.959961,1840010000,5763.959961
2017-02-10,5726.169922,5743.430176,5717.419922,5734.129883,1852010000,5734.129883
2017-02-09,5688.02002,5722.709961,5685.149902,5715.180176,1943840000,5715.180176
2017-02-08,5662.950195,5686.959961,5649.390137,5682.450195,1945060000,5682.450195
2017-02-07,5674.859863,5689.600098,5664.819824,5674.220215,1919100000,5674.220215
2017-02-06,5656.950195,5668.200195,5650.259766,5663.549805,1732280000,5663.549805
2017-02-03,5650.72998,5666.839844,5647.580078,5666.77002,1786860000,5666.77002
2017-02-02,5627.149902,5656.009766,5616.399902,5636.200195,2073980000,5636.200195
